Country,Source 1 ,Source 2,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,https://www.thejakartapost.com/news/2020/03/23/afghanistan-reports-first-coronavirus-death.html,,,,,,,,,,,,,,,,,,,,,,,,
Albania,https://english.alarabiya.net/en/News/world/2020/03/11/Albania-reports-first-coronavirus-death-in-western-Balkans-,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,http://www.xinhuanet.com/english/2020-03/12/c_138870500.htm,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Andorra,,,,,,,,,,,,,,,,,,,,,,,,
Angola,https://www.aa.com.tr/en/africa/coronavirus-angola-reports-first-2-deaths/1785128,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,https://ab.gov.ag/pdf/covid_news/apr_7_2020_first_COVID_19_Death.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,https://unb.com.bd/category/World/argentina-announces-first-coronavirus-death-in-latin-america/46399,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,https://www.garda.com/crisis24/news-alerts/326851/armenia-country-confirms-first-covid-19-death-march-26-update-5,,,,,,,,,,,,,,,,,,,,,,,,
Australia,https://www.thehindu.com/news/international/australia-reports-first-coronavirus-death/article30955418.ece,,,,,,,,,,,,,,,,,,,,,,,,
Austria,https://www.vindobona.org/article/austria-reports-first-death-from-covid-19,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/azerbaijan-confirms-1st-coronavirus-death/1764070,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,https://ewnews.com/gb-first-covid-19-death-was-an-entrepreneur-political-activist-and-civic-leader,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,https://www.aa.com.tr/en/asia-pacific/bahrain-reports-first-coronavirus-death/1767582,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,https://unb.com.bd/category/Bangladesh/bangladesh-reports-first-coronavirus-death/47361,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,https://caribbeanbusinessreport.com/news/barbados-records-first-covid-19-death/,,,,,,,,,,,,,,,,,,,,,,,,
